[811.99s] Transitioned to State/Clip: PET_IDLE_5 | NormalizedTime: 2.40
[823.58s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 3.61
[833.69s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[834.79s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[836.74s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[837.39s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 0.03
[838.77s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 0.16
[850.39s] Transitioned to State/Clip: PET_IDLE_9 | NormalizedTime: 1.27
[862.01s] Transitioned to State/Clip: PET_IDLE_12 | NormalizedTime: 2.16
[868.10s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[869.28s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[871.21s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[871.74s] Transitioned to State/Clip: PET_IDLE_12 | NormalizedTime: 0.05
[877.40s] Transitioned to State/Clip: PET_IDLE_6 | NormalizedTime: 0.73
[889.01s] Transitioned to State/Clip: PET_IDLE_10 | NormalizedTime: 2.71
[900.64s] Transitioned to State/Clip: PET_IDLE_11 | NormalizedTime: 3.62
[902.30s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[903.40s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[904.84s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[905.39s] Transitioned to State/Clip: PET_IDLE_11 | NormalizedTime: 0.04
[915.33s] Transitioned to State/Clip: PET_IDLE_7 | NormalizedTime: 1.02
[926.92s] Transitioned to State/Clip: PET_IDLE_8 | NormalizedTime: 2.29
[938.58s] Transitioned to State/Clip: PET_IDLE | NormalizedTime: 4.23
[952.05s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[953.25s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[954.27s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[954.73s] Transitioned to State/Clip: PET_IDLE | NormalizedTime: 0.07
[964.67s] Transitioned to State/Clip: PET_IDLE_UPDATE2_01 | NormalizedTime: 1.62
[976.28s] Transitioned to State/Clip: PET_IDLE_UPDATE2_02 | NormalizedTime: 2.34
[987.88s] Transitioned to State/Clip: PET_IDLE_UPDATE2_03 | NormalizedTime: 3.22
[999.49s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 4.23
[1011.10s] Transitioned to State/Clip: PET_IDLE_2 | NormalizedTime: 5.20
[1022.71s] Transitioned to State/Clip: PET_IDLE_14 | NormalizedTime: 6.08
[1034.32s] Transitioned to State/Clip: PET_IDLE_4 | NormalizedTime: 7.13
[1045.92s] Transitioned to State/Clip: PET_IDLE_3 | NormalizedTime: 8.06
[1057.52s] Transitioned to State/Clip: PET_IDLE_5 | NormalizedTime: 11.06
[1069.14s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 12.27
[1080.77s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 13.25
[1092.35s] Transitioned to State/Clip: PET_IDLE_9 | NormalizedTime: 14.36
[1103.99s] Transitioned to State/Clip: PET_IDLE_12 | NormalizedTime: 15.25
[1115.57s] Transitioned to State/Clip: PET_IDLE_6 | NormalizedTime: 16.62
[1127.18s] Transitioned to State/Clip: PET_IDLE_10 | NormalizedTime: 18.60
[1138.79s] Transitioned to State/Clip: PET_IDLE_11 | NormalizedTime: 19.51
[1150.39s] Transitioned to State/Clip: PET_IDLE_7 | NormalizedTime: 20.65
[1162.01s] Transitioned to State/Clip: PET_IDLE_8 | NormalizedTime: 21.93
[1173.62s] Transitioned to State/Clip: PET_IDLE | NormalizedTime: 23.86
[1190.70s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[1191.81s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[1195.63s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[1196.18s] Transitioned to State/Clip: PET_IDLE | NormalizedTime: 0.07
[1202.29s] Transitioned to State/Clip: PET_IDLE_UPDATE2_01 | NormalizedTime: 1.00
[1213.91s] Transitioned to State/Clip: PET_IDLE_UPDATE2_02 | NormalizedTime: 1.71
[1225.50s] Transitioned to State/Clip: PET_IDLE_UPDATE2_03 | NormalizedTime: 2.59
[1237.10s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 3.60
[1248.70s] Transitioned to State/Clip: PET_IDLE_2 | NormalizedTime: 4.57
[1251.95s] Transitioned to State/Clip: PET_DRAGGING | NormalizedTime: 0.02
[1252.26s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.03
[1263.18s] Transitioned to State/Clip: PET_IDLE_14 | NormalizedTime: 0.09
[1271.92s] Transitioned to State/Clip: PET_IDLE_4 | NormalizedTime: 0.88
[1283.56s] Transitioned to State/Clip: PET_IDLE_3 | NormalizedTime: 1.82
[1295.15s] Transitioned to State/Clip: PET_IDLE_5 | NormalizedTime: 4.82
[1306.77s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 6.03
[1318.39s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 7.01
[1324.25s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[1325.33s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[1341.05s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1350.25s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1352.90s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1363.90s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1378.62s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1387.81s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1390.46s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1401.46s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1416.18s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1425.38s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1428.03s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1439.03s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1453.75s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1462.93s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1465.59s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1476.60s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1491.29s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1500.50s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1503.14s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1514.14s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1528.86s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1538.06s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1540.72s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1551.70s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1566.42s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1575.62s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1578.27s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1589.28s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1603.99s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1613.18s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1615.83s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1626.84s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1641.56s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1650.74s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1653.39s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1664.39s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1679.11s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1688.31s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1690.96s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1701.96s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1716.67s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1725.87s] Transitioned to State/Clip: SCREEN_SAVER_02 | NormalizedTime: 0.27
[1728.52s] Transitioned to State/Clip: SCREEN_SAVER_03 | NormalizedTime: 0.08
[1739.53s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.12
[1754.23s] Transitioned to State/Clip: SCREEN_SAVER_01 | NormalizedTime: 0.08
[1760.91s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[1761.42s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 0.04
[1767.03s] Transitioned to State/Clip: PET_IDLE_9 | NormalizedTime: 0.57
[1778.65s] Transitioned to State/Clip: PET_IDLE_12 | NormalizedTime: 1.46
[1790.25s] Transitioned to State/Clip: PET_IDLE_6 | NormalizedTime: 2.83
[1801.87s] Transitioned to State/Clip: PET_IDLE_10 | NormalizedTime: 4.81
[1802.04s] Transitioned to State/Clip: PET_DRAGGING | NormalizedTime: 0.02
[1802.31s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.02
[1802.83s] Transitioned to State/Clip: PET_DRAGGING | NormalizedTime: 0.02
[1803.14s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.02
[1814.08s] Transitioned to State/Clip: PET_IDLE_11 | NormalizedTime: 0.10
[1815.25s] Transitioned to State/Clip: PET_DRAGGING | NormalizedTime: 0.02
[1815.55s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.02
[1826.50s] Transitioned to State/Clip: PET_IDLE_7 | NormalizedTime: 0.11
--- RUNTIME VALIDATION OBSERVER STARTED ---
[Observer] Attached to Animator on: CustomVRM(Clone)
[0.00s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.00
[3.11s] Transitioned to State/Clip: PET_DRAGGING | NormalizedTime: 0.02
[3.39s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.02
[14.33s] Transitioned to State/Clip: PET_IDLE_UPDATE2_01 | NormalizedTime: 0.06
[20.99s] Transitioned to State/Clip: PET_IDLE_UPDATE2_02 | NormalizedTime: 0.47
[31.00s] Transitioned to State/Clip: PET_IDLE_UPDATE2_03 | NormalizedTime: 1.23
[41.01s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 2.11
[51.04s] Transitioned to State/Clip: PET_IDLE_2 | NormalizedTime: 2.94
[61.04s] Transitioned to State/Clip: PET_IDLE_14 | NormalizedTime: 3.70
[71.06s] Transitioned to State/Clip: PET_IDLE_4 | NormalizedTime: 4.61
[81.06s] Transitioned to State/Clip: PET_IDLE_3 | NormalizedTime: 5.42
--- RUNTIME VALIDATION OBSERVER STARTED ---
[Observer] Attached to Animator on: CustomVRM(Clone)
[0.00s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.00
[11.19s] Transitioned to State/Clip: PET_IDLE_UPDATE2_01 | NormalizedTime: 0.08
[21.03s] Transitioned to State/Clip: PET_IDLE_UPDATE2_02 | NormalizedTime: 0.68
[31.02s] Transitioned to State/Clip: PET_IDLE_UPDATE2_03 | NormalizedTime: 1.44
[41.04s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 2.32
[51.05s] Transitioned to State/Clip: PET_IDLE_2 | NormalizedTime: 3.15
[60.95s] Transitioned to State/Clip: PET_IDLE_14 | NormalizedTime: 3.90
[71.09s] Transitioned to State/Clip: PET_IDLE_4 | NormalizedTime: 4.82
[81.10s] Transitioned to State/Clip: PET_IDLE_3 | NormalizedTime: 5.63
[91.11s] Transitioned to State/Clip: PET_IDLE_5 | NormalizedTime: 8.20
[101.12s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 9.25
[111.11s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 10.09
[121.13s] Transitioned to State/Clip: PET_IDLE_9 | NormalizedTime: 11.05
--- RUNTIME VALIDATION OBSERVER STARTED ---
[Observer] Attached to Animator on: CustomVRM(Clone)
[0.00s] Transitioned to State/Clip: PET_INTRO | NormalizedTime: 0.00
[11.20s] Transitioned to State/Clip: PET_IDLE_UPDATE2_01 | NormalizedTime: 0.08
[21.00s] Transitioned to State/Clip: PET_IDLE_UPDATE2_02 | NormalizedTime: 0.68
[31.01s] Transitioned to State/Clip: PET_IDLE_UPDATE2_03 | NormalizedTime: 1.44
[41.02s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 2.32
[41.76s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[42.84s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[44.26s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[44.77s] Transitioned to State/Clip: PET_IDLE_UPDATE2_04 | NormalizedTime: 0.03
[54.06s] Transitioned to State/Clip: PET_IDLE_2 | NormalizedTime: 0.80
[64.06s] Transitioned to State/Clip: PET_IDLE_14 | NormalizedTime: 1.56
[74.06s] Transitioned to State/Clip: PET_IDLE_4 | NormalizedTime: 2.47
[84.08s] Transitioned to State/Clip: PET_IDLE_3 | NormalizedTime: 3.28
[94.09s] Transitioned to State/Clip: PET_IDLE_5 | NormalizedTime: 5.86
[104.09s] Transitioned to State/Clip: PET_IDLE_15 | NormalizedTime: 6.90
[114.11s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 7.74
[122.87s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.02
[123.97s] Transitioned to State/Clip: SCREEN_SAVER_04 | NormalizedTime: 0.06
[125.84s] Transitioned to State/Clip: BIG_SCREEN_01 | NormalizedTime: 0.04
[126.36s] Transitioned to State/Clip: PET_IDLE_13 | NormalizedTime: 0.04
[127.61s] Transitioned to State/Clip: PET_IDLE_9 | NormalizedTime: 0.15
[137.62s] Transitioned to State/Clip: PET_IDLE_12 | NormalizedTime: 0.92
